;Средняя начисленная заработная плата женщин и мужчин по группам занятий в 2019 г;;;;
;женщины;мужчины;;;
Руководители;67832;100795;;;
Специалисты высшего уровня квалификации;43368;62033;;;
Специалисты в области науки и техники;51166;65875;;;
Специалисты в области здравоохранения;59579;68052;;;
Специалисты в области образования;36742;43972;;;
Специалисты в сфере бизнеса и администрирования;44726;71596;;;
Специалисты по информационно-коммуникационным технологиям (ИКТ);58869;76860;;;
Специалисты в области права, гуманитарных областей и культуры;40193;54950;;;
Специалисты среднего уровня квалификации;37148;61923;;;
Специалисты-техники в области науки и техники;37624;65417;;;
Средний медицинский персонал здравоохранения;37770;41815;;;
Средний специальный персонал по экономической и административной деятельности;37168;43361;;;
Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий;31986;136979;;;
Специалисты-техники в области информационно-коммуникационных технологий (ИКТ);36802;56170;;;
Служащие, занятые подготовкой и оформлением документации, учетом и обслуживанием;27572;36859;;;
Служащие общего профиля и обслуживающие офисную технику;27603;29666;;;
Служащие сферы обслуживания населения;24442;31436;;;
Служащие в сфере обработки числовой информации и учета материальных ценностей;34910;50268;;;
Другие офисные служащие;21781;25452;;;
Работники сферы обслуживания и торговли, охраны граждан и собственности;25435;36030;;;
Работники сферы индивидуальных услуг;24929;44171;;;
Продавцы;31209;40441;;;
Работники, оказывающие услуги по индивидуальному уходу;20254;24180;;;
Работники служб, осуществляющих охрану граждан и собственности;23855;31668;;;
Квалифицированные работники сельского и лесного хозяйства, рыбоводства и рыболовства;30172;28583;;;
Квалифицированные работники сельского хо- зяйства, производящие товарную продукцию;30527;30502;;;
Товарные производители лесной и рыбной продукции и охотники;25467;26151;;;
Квалифицированные рабочие промышленности, строительства, транспорта и рабочие родственных занятий;34418;44469;;;
Рабочие, занятые в строительстве, и рабочие родственных занятий (за исключением электриков);33994;41054;;;
Рабочие, занятые в металлообрабатывающем и машиностроительном производстве, механики и ремонтники;37361;46003;;;
Рабочие, занятые изготовлением прецизионных инструментов и приборов, рабочие художественных промыслов и полиграфического производства;35118;42907;;;
Рабочие в области электротехники и электроники;36255;44508;;;
Рабочие пищевой, деревообрабатывающей, текстильной и швейной промышлен-ности и рабочие родственных занятий;31618;41689;;;
Операторы производственных установок и машин, сборщики и водители;32959;46595;;;
Операторы промышленных установок и стационарного оборудования;31668;49153;;;
Сборщики;38103;49875;;;
Водители и операторы подвижного оборудо- вания;37436;45149;;;
Неквалифицированные рабочие;22027;26038;;;
Уборщики и прислуга;19985;21298;;;
Неквалифицированные рабочие сельского и лесного хозяйства, рыбоводства и рыболовства;24709;24945;;;
Неквалифицированные рабочие, занятые в горнодобывающей промышленности, строительстве, обрабатывающей промышленности и на транспорте;27323;31617;;;
Помощники в приготовлении пищи;20686;30217;;;
Неквалифицированные работники по сбору мусора и другие неква- лифицированные работники;21470;20870;;;
